Title,Year,DOI
Link Between Antibiotic Persistence and Antibiotic Resistance in Bacterial Pathogens,2022,10.3389/fcimb.2022.900848
Evolutionary Pathways and Trajectories in Antibiotic Resistance,2021,10.1128/CMR.00050-19
Bedaquiline and clofazimine resistance in Mycobacterium tuberculosis: an in-vitro and in-silico data analysis,2023,10.1016/S2666-5247(23)00002-2
Plasmid-encoded tet(X) genes that confer high-level tigecycline resistance in Escherichia coli,2019,10.1038/s41564-019-0496-4
"Genomic, functional, and metabolic enhancements in multidrug-resistant Enterobacter bugandensis facilitating its persistence and succession in the International Space Station",2024,10.1186/s40168-024-01777-1
Propensity of selecting mutant parasites for the antimalarial drug cabamiquine,2023,10.1038/s41467-023-40974-8
Antibiotic chemotherapy against heterogeneous pathogen populations in complex host tissues,2019,10.12688/f1000research.19441.1
A spatio-temporal model of multi-marker antimalarial resistance,2024,10.1098/rsif.2023.0570
Recent approaches in computational modelling for controlling pathogen threats,2024,10.26508/lsa.202402666
Arginine Modulates Carbapenem Deactivation by OXA-24/40 in Acinetobacter baumannii,2021,10.1016/j.jmb.2021.167150
Understanding the evolution of multiple drug resistance in structured populations,2021,10.7554/eLife.65645
Zidebactam restores sulbactam susceptibility against carbapenem-resistant Acinetobacter baumannii isolates,2022,10.3389/fcimb.2022.918868
Antimicrobial resistance level and conjugation permissiveness shape plasmid distribution in clinical enterobacteria,2023,10.1073/pnas.2314135120
RNA helicase DDX5 enables STAT1 mRNA translation and interferon signalling in hepatitis B virus replicating hepatocytes,2022,10.1136/gutjnl-2020-323126
pH-dependence of the Plasmodium falciparum chloroquine resistance transporter is linked to the transport cycle,2023,10.1038/s41467-023-39969-2
Integrative Genetic Manipulation of Plasmodium cynomolgi Reveals Multidrug Resistance-1 Y976F Associated With Increased In Vitro Susceptibility to Mefloquine,2023,10.1093/infdis/jiac469
Molecular Dynamics for Antimicrobial Peptide Discovery,2021,10.1128/IAI.00703-20
Antibiotic collateral sensitivity is contingent on the repeatability of evolution,2019,10.1038/s41467-018-08098-6
Potent antiviral HIV-1 protease inhibitor combats highly drug resistant mutant PR20,2019,10.1016/j.bbrc.2019.08.126
Modelling Plasmid-Mediated Horizontal Gene Transfer in Biofilms,2024,10.1007/s11538-024-01289-x
The impact of treatment strategies on the epidemiological dynamics of plasmid-conferred antibiotic resistance,2024,10.1073/pnas.2406818121
Substrate-dependent transport mechanism in AcrB of multidrug resistant bacteria,2020,10.1002/prot.25877
Mechanism of polyamine induced colistin resistance through electrostatic networks on bacterial outer membranes,2020,10.1016/j.bbamem.2020.183297
"New understanding of multidrug efflux and permeation in antibiotic resistance, persistence, and heteroresistance",2023,10.1111/nyas.14921
Growth-Dependent Predation and Generalized Transduction of Antimicrobial Resistance by Bacteriophage,2022,10.1128/msystems.00135-22
Prediction of antimicrobial resistance based on whole-genome sequencing and machine learning,2022,10.1093/bioinformatics/btab681
The ecology of plasmid-coded antibiotic resistance: a basic framework for experimental research and modeling,2020,10.1016/j.csbj.2020.12.027
Intracellular Organization by Jumbo Bacteriophages,2020,10.1128/JB.00362-20
Phage-antibiotic synergy: Cell filamentation is a key driver of successful phage predation,2023,10.1371/journal.ppat.1011602
Conjugation dynamics depend on both the plasmid acquisition cost and the fitness cost,2021,10.15252/msb.20209913
"Epistasis between antibiotic tolerance, persistence, and resistance mutations",2019,10.1073/pnas.1906169116
Defining the Benefits of Antibiotic Resistance in Commensals and the Scope for Resistance Optimization,2023,10.1128/mbio.01349-22
Antibiotic Resistance via Bacterial Cell Shape-Shifting,2022,10.1128/mbio.00659-22
Cell division protein FtsZ: from structure and mechanism to antibiotic target,2020,10.2217/fmb-2019-0348
Susceptible bacteria can survive antibiotic treatment in the mammalian gastrointestinal tract without evolving resistance,2024,10.1016/j.chom.2024.01.012
Antidepressants can induce mutation and enhance persistence toward multiple antibiotics,2023,10.1073/pnas.2208344120
Pulmonary bacteriophage and cystic fibrosis airway mucus: friends or foes?,2023,10.3389/fmed.2023.1088494
Artificial sweeteners stimulate horizontal transfer of extracellular antibiotic resistance genes through natural transformation,2022,10.1038/s41396-021-01095-6
Transmission dynamics and control of multidrug-resistant Klebsiella pneumoniae in neonates in a developing country,2019,10.7554/eLife.50468
Does plasmid-based beta-lactam resistance increase E. coli infections: Modelling addition and replacement mechanisms,2022,10.1371/journal.pcbi.1009875
Phage-induced efflux down-regulation boosts antibiotic efficacy,2024,10.1371/journal.ppat.1012361
Characterization of the First OXA-10 Natural Variant with Increased Carbapenemase Activity,2018,10.1128/AAC.01817-18
Modelling of filamentous phage-induced antibiotic tolerance of P. aeruginosa,2022,10.1371/journal.pone.0261482
In Silico Structural Modeling and Analysis of Interactions of Tremellomycetes Cytochrome P450 Monooxygenases CYP51s with Substrates and Azoles,2021,10.3390/ijms22157811
Combining mutation and horizontal gene transfer in a within-host model of antibiotic resistance,2021,10.1016/j.mbs.2021.108656
"Diversity, Dynamics and Therapeutic Application of Clostridioides difficile Bacteriophages",2022,10.3390/v14122772
Factors associated with plasmid antibiotic resistance gene carriage revealed using large-scale multivariable analysis,2023,10.1038/s41598-023-29530-y
Bacteriophage endolysins - extending their application to tissues and the bloodstream,2021,10.1016/j.copbio.2020.09.012
On the mechanism of antibiotic resistance and fecal microbiota transplantation,2019,10.3934/mbe.2019354
Variability of plasmid fitness effects contributes to plasmid persistence in bacterial communities,2021,10.1038/s41467-021-22849-y
Modeling the ecology of parasitic plasmids,2021,10.1038/s41396-021-00954-6
Phage-antibiotic combinations against multidrug-resistant Pseudomonas aeruginosa in in vitro static and dynamic biofilm models,2023,10.1128/aac.00578-23
Exploiting lung adaptation and phage steering to clear pan-resistant Pseudomonas aeruginosa infections in vivo,2024,10.1038/s41467-024-45785-z
Dimensionless parameter predicts bacterial prodrug success,2022,10.15252/msb.202110495
Conjugative plasmid transfer is limited by prophages but can be overcome by high conjugation rates,2022,10.1098/rstb.2020.0470
Compartmentalization of a Multidrug-Resistant Cytomegalovirus UL54 Mutant in a Stem Cell Transplant Recipient with Encephalitis,2019,10.1093/infdis/jiz298
Environmental and dynamic effects explain how nisin captures membrane-bound lipid II,2020,10.1038/s41598-020-65522-y
"Pf Bacteriophage and Their Impact on Pseudomonas Virulence, Mammalian Immunity, and Chronic Infections",2020,10.3389/fimmu.2020.00244
Pharmacophore-Assisted Covalent Docking Identifies a Potential Covalent Inhibitor for Drug-Resistant Genotype 3 Variants of Hepatitis C Viral NS3/4A Serine Protease,2024,10.3390/v16081250
Self-assembly antimicrobial peptide for treatment of multidrug-resistant bacterial infection,2024,10.1186/s12951-024-02896-5
LysSYL: a broad-spectrum phage endolysin targeting Staphylococcus species and eradicating S. aureus biofilms,2024,10.1186/s12934-024-02359-4
