Title,Year,DOI
The impact of treatment strategies on the epidemiological dynamics of plasmid-conferred antibiotic resistance,2024,10.1073/pnas.2406818121
"Cm-p5, a molluscan-derived antifungal peptide exerts its activity by a membrane surface covering in a non-penetrating mode",2024,10.1016/j.peptides.2024.171313
Cryo-EM Structures Reveal the Unique Binding Modes of Metyltetraprole in Yeast and Porcine Cytochrome bc1 Complex Enabling Rational Design of Inhibitors,2024,10.1021/jacs.4c12595
A genetically encoded biosensor to monitor dynamic changes of c-di-GMP with high temporal resolution,2024,10.1038/s41467-024-48295-0
Expression and characterization of pantothenate energy-coupling factor transporters as an anti-infective drug target,2024,10.1002/pro.5195
Viral plasticity facilitates host diversity in challenging environments,2024,10.1038/s41467-024-51344-3
Gamma-Mobile-Trio systems are mobile elements rich in bacterial defensive and offensive tools,2024,10.1038/s41564-024-01840-5
Bacillus species are core microbiota of resistant maize cultivars that induce host metabolic defense against corn stalk rot,2024,10.1186/s40168-024-01887-w
Development of α-Helical Antimicrobial Peptides with Imperfect Amphipathicity for Superior Activity and Selectivity,2024,10.1021/acs.jmedchem.4c01855
Rapid evolution of colistin resistance in a bioreactor model of infection of Klebsiella pneumoniae,2024,10.1038/s42003-024-06378-0
Multifunctional Nanocomposite Hydrogel with Enhanced Chemodynamic Therapy and Starvation Therapy for Inhibiting Postoperative Tumor Recurrence,2024,10.3390/ijms252111465
Optogenetic patterning generates multi-strain biofilms with spatially distributed antibiotic resistance,2024,10.1038/s41467-024-53546-1
In vivo emergence of resistance to ceftazidime/avibactam through modification of chromosomal AmpC β-lactamase in Klebsiella aerogenes,2024,10.1128/aac.01307-24
Structural Studies on Mycobacterial NudC Reveal a Class of Zinc Independent NADH Pyrophosphatase,2024,10.1016/j.jmb.2024.168864
Plasmid-mediated phenotypic noise leads to transient antibiotic resistance in bacteria,2024,10.1038/s41467-024-45045-0
Single-cell detection of copy number changes reveals dynamic mechanisms of adaptation to antifungals in Candida albicans,2024,10.1038/s41564-024-01795-7
Viral DNA polymerase structures reveal mechanisms of antiviral drug resistance,2024,10.1016/j.cell.2024.07.048
Structure-guided identification and characterization of potent inhibitors targeting PhoP and MtrA to combat mycobacteria,2024,10.1016/j.csbj.2024.04.005
Multiplex antimicrobial activities of the self-assembled amphiphilic polypeptide β nanofiber KF-5 against vaginal pathogens,2024,10.1186/s13062-024-00546-2
"Unraveling Cordia myxa’s anti-malarial potential: integrative insights from network pharmacology, molecular modeling, and machine learning",2024,10.1186/s12879-024-10078-9
CRISPR-AMRtracker: A novel toolkit to monitor the antimicrobial resistance gene transfer in fecal microbiota,2024,10.1016/j.drup.2024.101142
Impact of molecular structure on the biological removal efficiency of fluoroquinolone antibiotics: An in-silico approach,2024,10.1016/j.scitotenv.2024.177178
Synergistic effects of microplastics and sulfonamide on greenhouse gas emissions in agricultural ditch sediments: Insights into microbial interactions,2024,10.1016/j.jhazmat.2024.136378
Novel benzothiazole derivatives target the Gac/Rsm two-component system as antibacterial synergists against Pseudomonas aeruginosa infections,2024,10.1016/j.apsb.2024.08.002
Triclosan facilitates the dissemination of antibiotic resistance genes during anaerobic digestion: Focusing on horizontal transfer and microbial response,2024,10.1016/j.biortech.2024.131522
ctDNA Dynamics and Mechanisms of Acquired Resistance in Patients Treated with Osimertinib with or without Bevacizumab from the Randomized Phase II ETOP-BOOSTER Trial,2024,10.1158/1078-0432.CCR-24-0932
Collateral sensitivity counteracts the evolution of antifungal drug resistance in Candida auris,2024,10.1038/s41564-024-01811-w
"Non-negligible roles of upstream rivers in determining the antibiotic resistance genes community in an interconnected river-lake system (Dongting lake, China)",2024,10.1016/j.scitotenv.2024.173926
Self-assembly antimicrobial peptide for treatment of multidrug-resistant bacterial infection,2024,10.1186/s12951-024-02896-5
"Doxorubicin resistance involves modulation of interferon signaling, transcriptional bursting, and gene co-expression patterns of U-ISGF3-related genes",2024,10.1016/j.neo.2024.101071
Optimising CNT-FET biosensor design through modelling of biomolecular electrostatic gating and its application to β-lactamase detection,2024,10.1038/s41467-024-51325-6
Metagenomic analysis of the dichotomous role of uranium in regulating intracellular and extracellular antibiotic resistance genes in activated sludge,2024,10.1016/j.envpol.2024.125258
Designing potential lead compounds targeting aminoglycoside N (6′)-acetyltransferase in Serratia marcescens: A drug discovery strategy,2024,10.1016/j.ijbiomac.2024.136976
Evaluation the kill rate and mutant selection window of danofloxacin against Actinobacillus pleuropneumoniae in a peristaltic pump model,2024,10.1186/s12917-024-04016-9
Bacterial community and antibiotic resistance genes assembly processes were shaped by different mechanisms in the deep-sea basins of the Western Pacific Ocean,2024,10.1016/j.envpol.2024.125214
Preventing human influenza and coronaviral mono or coinfection by blocking virus-induced sialylation,2024,10.1016/j.antiviral.2024.106041
Molecular basis for the transcriptional regulation of an epoxide-based virulence circuit in Pseudomonas aeruginosa,2024,10.1093/nar/gkae889
Functional interplay between short antimicrobial peptides and model lipid membranes,2024,10.1016/j.bioorg.2024.107939
Evolution of the Black solider fly larvae gut antibiotic resistome during kitchen waste disposal,2024,10.1016/j.jhazmat.2024.135878
Integrating computational and experimental approaches in discovery and validation of MmpL3 pore domain inhibitors for specific labelling of Mycobacterium tuberculosis,2024,10.1016/j.ijbiomac.2024.135212
"Hagfish-inspired hydrogel for root caries: A multifunctional approach including immediate protection, antimicrobial phototherapy, and remineralization",2024,10.1016/j.actbio.2024.09.014
The antimicrobial fibupeptide lugdunin forms water-filled channel structures in lipid membranes,2024,10.1038/s41467-024-47803-6
New insights into protein–protein interaction modulators in drug discovery and therapeutic advance,2024,10.1038/s41392-024-02036-3
Water temperature disturbance alters the conjugate transfer of antibiotic resistance genes via affecting ROS content and intercellular aggregation,2024,10.1016/j.jhazmat.2024.135762
Minicells as an Escherichia coli mechanism for the accumulation and disposal of fluorescent cadmium sulphide nanoparticles,2024,10.1186/s12951-024-02348-0
In situ captured antibacterial action of membrane-incising peptide lamellae,2024,10.1038/s41467-024-47708-4
Vancomycin and nisin-modified magnetic Fe3O4@SiO2 nanostructures coated with chitosan to enhance antibacterial efficiency against methicillin resistant Staphylococcus aureus (MRSA) infection in a murine superficial wound model,2024,10.1186/s13065-024-01129-y
Inhibition and transport mechanisms of the ABC transporter hMRP5,2024,10.1038/s41467-024-49204-1
Bridging Classical Methodologies in Salmonella Investigation with Modern Technologies: A Comprehensive Review,2024,10.3390/microorganisms12112249
Structural insights into the mechanotransducing mechanism of FtsEX in cell division,2024,10.1002/mco2.688
Membrane lipid homeostasis dually regulates conformational transition of phosphoethanolamine transferase EptA,2024,10.1038/s41467-024-54607-1
Unravelling the challenge of cotrimoxazole and rifampin resistance in B. melitensis and B. abortus: A systematic review and metaanalysis,2024,10.1371/journal.pntd.0012630
Cyanobacteria mediate the dissemination of bacterial antibiotic resistance through conjugal transfer,2024,10.1016/j.envpol.2024.124592
Distinct species turnover patterns shaped the richness of antibiotic resistance genes on eight different microplastic polymers,2024,10.1016/j.envres.2024.119562
Duplicated antibiotic resistance genes reveal ongoing selection and horizontal gene transfer in bacteria,2024,10.1038/s41467-024-45638-9
Structural insights into the inhibition mechanism of fungal GWT1 by manogepix,2024,10.1038/s41467-024-53512-x
Acquired amphotericin B resistance leads to fitness trade-offs that can be mitigated by compensatory evolution in Candida auris,2024,10.1038/s41564-024-01854-z
Smart Hydrogel Dressing Enhances the Healing of Chronic Infectious Diabetic Wounds through Dual-Barrier Drug Delivery Action,2024,10.1021/acs.biomac.4c01041
A new class of capsid-targeting inhibitors that specifically block HIV-1 nuclear import,2024,10.1038/s44321-024-00143-w
Distribution of tetracyclines and sulfonamides resistance genes around a smallholder pig farm: Modeling and attribution,2024,10.1016/j.scitotenv.2024.176618
