Title,Year,DOI
Interactions between metabolism and growth can determine the co-existence of Staphylococcus aureus and Pseudomonas aeruginosa,2023,10.7554/eLife.83664
Pharmacodynamic Evaluation of Plasma and Epithelial Lining Fluid Exposures of Amikacin against Pseudomonas aeruginosa in a Dynamic In Vitro Hollow-Fiber Infection Model,2020,10.1128/AAC.00879-20
Nanocomposite Hydrogel Films Based on Sequential Interpenetrating Polymeric Networks as Drug Delivery Platforms,2023,10.3390/polym15153176
Simulated Drug Efflux for the AbgT Family of Membrane Transporters,2021,10.1021/acs.jcim.1c00516
Repurposed floxacins targeting RSK4 prevent chemoresistance and metastasis in lung and bladder cancer,2021,10.1126/scitranslmed.aba4627
Pharmacophore-Assisted Covalent Docking Identifies a Potential Covalent Inhibitor for Drug-Resistant Genotype 3 Variants of Hepatitis C Viral NS3/4A Serine Protease,2024,10.3390/v16081250
Duration of pretomanid/moxifloxacin/pyrazinamide therapy compared with standard therapy based on time-to-extinction mathematics,2020,10.1093/jac/dkz460
Metabolomic Analysis of Defense-Related Reprogramming in Sorghum bicolor in Response to Colletotrichum sublineolum Infection Reveals a Functional Metabolic Web of Phenylpropanoid and Flavonoid Pathways,2019,10.3389/fpls.2018.01840
ABC transporter inhibition by beauvericin partially overcomes drug resistance in Leishmania tropica,2024,10.1128/aac.01368-23
Induction and suppression of gene silencing in plants by nonviral microbes,2023,10.1111/mpp.13362
Folding Behaviour and Antibacterial Activity of Ionic Complementary Peptide EAK-16,2021,10.9734/JPRI/2021/v33i28A31516
Transcription Attenuation in Synthetic Promoters in Nonoverlapping Tandem Formation,2024,10.1021/acs.biochem.4c00012
Complex Signaling Networks Controlling Dynamic Molecular Changes in Pseudomonas aeruginosa Biofilm,2019,10.2174/0929867325666180912110151
BRD4 inhibition exerts anti-viral activity through DNA damage-dependent innate immune responses,2020,10.1371/journal.ppat.1008429
Epigenetic Reprogramming of Host and Viral Genes by Human Cytomegalovirus Infection in Kasumi-3 Myeloid Progenitor Cells at Early Times Postinfection,2021,10.1128/JVI.00183-21
Quercetin Reduces the Virulence of S. aureus by Targeting CIpP to Protect Mice from MRSA-Induced Lethal Pneumonia,2022,10.1128/spectrum.02340-21
Kinetic Barrier to Enzyme Inhibition Is Manipulated by Dynamical Local Interactions in E. coli DHFR,2023,10.1021/acs.jcim.3c00818
Multiple endemic equilibria in an environmentally-transmitted disease with three disease stages,2024,10.1016/j.mbs.2024.109244
Integrative Genetic Manipulation of Plasmodium cynomolgi Reveals Multidrug Resistance-1 Y976F Associated With Increased In Vitro Susceptibility to Mefloquine,2023,10.1093/infdis/jiac469
Evolutionary epidemiology of Streptococcus iniae: Linking mutation rate dynamics with adaptation to novel immunological landscapes,2020,10.1016/j.meegid.2020.104435
"Cooperative Changes in Solvent Exposure Identify Cryptic Pockets, Switches, and Allosteric Coupling",2019,10.1016/j.bpj.2018.11.3144
Synthetic biohybrid peptidoglycan oligomers enable pan-bacteria-specific labeling and imaging: in vitro and in vivo,2020,10.1039/c9sc06345e
A novel inhibitor of monooxygenase reversed the activity of tetracyclines against tet(X3)/tet(X4)-positive bacteria,2022,10.1016/j.ebiom.2022.103943
Getting higher on rugged landscapes: Inversion mutations open access to fitter adaptive peaks in NK fitness landscapes,2022,10.1371/journal.pcbi.1010647
Zidebactam restores sulbactam susceptibility against carbapenem-resistant Acinetobacter baumannii isolates,2022,10.3389/fcimb.2022.918868
Revisiting the role of mesenchymal stem cells in tuberculosis and other infectious diseases,2023,10.1038/s41423-023-01028-7
Pathogenic bacteria experience pervasive RNA polymerase backtracking during infection,2024,10.1128/mbio.02737-23
Filling knowledge gaps related to AmpC-dependent β-lactam resistance in Enterobacter cloacae,2024,10.1038/s41598-023-50685-1
Modeling the effects of prebiotic interventions on luminal and mucosa-associated gut microbiota without and with Clostridium difficile challenge in vitro,2024,10.3389/fnut.2024.1403007
Insights into the Binding Mode of Lipid A to the Anti- lipopolysaccharide Factor ALFPm3 from Penaeus monodon: An In Silico Study through MD Simulations,2023,10.1021/acs.jcim.3c00173
A Look into Causal Effects under Entangled Treatment in Graphs: Investigating the Impact of Contact on MRSA Infection,2023,10.1145/3580305.3599763
Computational exploration of Picrasma quassioides compounds as CviR-mediated quorum sensing inhibitors against Chromobacterium violaceum,2024,10.3389/fchem.2024.1286675
A Genotype-Phenotype Correlation Study of SHV β-Lactamases Offers New Insight into SHV Resistance Profiles,2020,10.1128/AAC.02293-19
