title,year,doi,source,article_key
3D-QSAR and molecular recognition of Klebsiella pneumoniae NDM-1 inhibitors,2019,10.1080/08927022.2019.1579327,Scopus,10.1080/08927022.2019.1579327
A computational study of the molecular basis of antibiotic resistance in a DXR mutant,2019,10.1007/s10822-019-00229-5,Scopus,10.1007/s10822-019-00229-5
A high-throughput approach to the culture-based estimation of plasmid transfer rates,2019,10.1016/j.plasmid.2018.12.003,Scopus,10.1016/j.plasmid.2018.12.003
A Potent Anti-SpuE Antibody Allosterically Inhibits Type III Secretion System and Attenuates Virulence of Pseudomonas Aeruginosa,2019,10.1016/j.jmb.2019.10.026,Scopus,10.1016/j.jmb.2019.10.026
An essential bifunctional enzyme in Mycobacterium tuberculosis for itaconate dissimilation and leucine catabolism,2019,10.1073/pnas.1906606116,Scopus,10.1073/pnas.1906606116
An extensively shared antibiotic resistome among four seasons suggests management prioritization in a subtropical riverine ecosystem,2019,10.1016/j.scitotenv.2019.04.031,Scopus,10.1016/j.scitotenv.2019.04.031
An in silico approach towards identification of novel drug targets in pathogenic species of Leptospira,2019,10.1371/journal.pone.0221446,Scopus,10.1371/journal.pone.0221446
Analysing non-synonymous mutations in XDR and MDR tuberculosis drugs,2019,10.1016/j.jctube.2019.100124,Scopus,10.1016/j.jctube.2019.100124
Antifungal screening and in silico mechanistic studies of an in-house azole library,2019,10.1111/cbdd.13587,Scopus,10.1111/cbdd.13587
Arthropod-bacteria interactions influence assembly of aquatic host microbiome and pathogen defense,2019,10.1098/rspb.2019.0924,Scopus,10.1098/rspb.2019.0924
Bacterial brothers in arms: Cooperation of Staphylococcus aureus and Pseudomonas aeruginosa during antimicrobial exposure,2019,10.1093/jac/dkz247,Scopus,10.1093/jac/dkz247
Basal level p53 suppresses antiviral immunity against foot-and-mouth disease virus,2019,10.3390/v11080727,Scopus,10.3390/v11080727
Beyond piperacillin-tazobactam: Cefepime and AAI101 as a potent -lactam-lactamase inhibitor combination,2019,10.1128/AAC.00105-19,Scopus,10.1128/aac.00105-19
Bioengineering nisin to overcome the nisin resistance protein,2019,10.1111/mmi.14183,Scopus,10.1111/mmi.14183
Bridging the gap between hiv epidemiology and antiretroviral resistance evolution: Modelling the spread of resistance in south africa,2019,10.1371/journal.pcbi.1007083,Scopus,10.1371/journal.pcbi.1007083
Broad and protective influenza B virus neuraminidase antibodies in humans after vaccination and their clonal persistence as plasma cells,2019,10.1128/MBIO.00066-19,Scopus,10.1128/mbio.00066-19
Characterization and Antibacterial Activity Study of Hydrothermally Synthesized h-MoO3 Nanorods and α-MoO3 Nanoplates,2019,10.1007/s12668-019-00671-7,Scopus,10.1007/s12668-019-00671-7
Cholic Acid-Derived Amphiphile which Combats Gram-Positive Bacteria-Mediated Infections via Disintegration of Lipid Clusters,2019,10.1021/acsbiomaterials.9b00706,Scopus,10.1021/acsbiomaterials.9b00706
Ciprofloxacin and clinafloxacin antibodies for an immunoassay of quinolones: Quantitative structure–activity analysis of cross-reactivities,2019,10.3390/ijms20020265,Scopus,10.3390/ijms20020265
Computational study of solution behavior of magainin 2 monomers,2019,10.1080/07391102.2018.1454850,Scopus,10.1080/07391102.2018.1454850
Control of switched boolean control networks by state feedback,2019,10.23919/ECC.2019.8796149,Scopus,10.23919/ecc.2019.8796149
Design and development of a novel peptide for treating intestinal inflammation,2019,10.3389/fimmu.2019.01841,Scopus,10.3389/fimmu.2019.01841
Distinct evolutionary dynamics of horizontal gene transfer in drug resistant and virulent clones of Klebsiella pneumoniae,2019,10.1371/journal.pgen.1008114,Scopus,10.1371/journal.pgen.1008114
Early multiphasic HBV infection initiation kinetics is not clone-specific and is not affected by hepatitis D virus (HDV) infection,2019,10.3390/v11030263,Scopus,10.3390/v11030263
Enhanced Silkworm Cecropin B Antimicrobial Activity against Pseudomonas aeruginosa from Single Amino Acid Variation,2019,10.1021/acsinfecdis.9b00042,Scopus,10.1021/acsinfecdis.9b00042
Environmental media exert a bottleneck in driving the dynamics of antibiotic resistance genes in modern aquatic environment,2019,10.1016/j.watres.2019.06.047,Scopus,10.1016/j.watres.2019.06.047
Epistasis and entrenchment of drug resistance in HIV-1 subtype B,2019,10.7554/eLife.50524,Scopus,10.7554/elife.50524
