title,year,doi,source,article_key
5-Arylideneimidazolones with Amine at Position 3 as Potential Antibiotic Adjuvants against Multidrug Resistant Bacteria,2019,10.3390/molecules24030438,WoS,10.3390/molecules24030438
A dose response model for quantifying the infection risk of antibiotic-resistant bacteria,2019,10.1038/s41598-019-52947-3,WoS,10.1038/s41598-019-52947-3
A High-Resolution View of Adaptive Event Dynamics in a Plasmid,2019,10.1093/gbe/evz197,WoS,10.1093/gbe/evz197
A Molecular Modeling Approach to Identify Novel Inhibitors of the Major Facilitator Superfamily of Efflux Pump Transporters,2019,10.3390/antibiotics8010025,WoS,10.3390/antibiotics8010025
a Natural Alkaloid Berberine Activity against Pseudomonas aeruginosa MexXY-Mediated Aminoglycoside Resistance: In Silico and in Vitro Studies,2019,10.1021/acs.jnatprod.9b00317,WoS,10.1021/acs.jnatprod.9b00317
Agmatine accumulation by Pseudomonas aeruginosa clinical isolates confers antibiotic tolerance and dampens host inflammation,2019,10.1099/jmm.0.000928,WoS,10.1099/jmm.0.000928
An Ssd1 Homolog Impacts Trehalose and Chitin Biosynthesis and Contributes to Virulence in Aspergillus fumigatus,2019,10.1128/mSphere.00244-19,WoS,10.1128/msphere.00244-19
Analyzing the Mechanisms Behind Macrolide Antibiotic-Induced Liver Injury Using Quantitative Systems Toxicology Modeling,2019,10.1007/s11095-019-2582-y,WoS,10.1007/s11095-019-2582-y
Antibiotic drug-resistance as a complex system driven by socio-economic growth and antibiotic misuse,2019,10.1038/s41598-019-46078-y,WoS,10.1038/s41598-019-46078-y
Antibody-mediated crosslinking of gut bacteria hinders the spread of antibiotic resistance,2019,10.1111/evo.13730,WoS,10.1111/evo.13730
Antifungal Activity and Potential Mechanism of N-Butylphthalide Alone and in Combination With Fluconazole Against Candida albicans,2019,10.3389/fmicb.2019.01461,WoS,10.3389/fmicb.2019.01461
Antimicrobial sensing coupled with cell membrane remodeling mediates antibiotic resistance and virulence in Enterococcus faecalis,2019,10.1073/pnas.1916037116,WoS,10.1073/pnas.1916037116
Application of Antimicrobial Peptides of the Innate Immune System in Combination With Conventional Antibiotics-A Novel Way to Combat Antibiotic Resistance?,2019,10.3389/fcimb.2019.00128,WoS,10.3389/fcimb.2019.00128
Assessing soil extracellular DNA decomposition dynamics through plasmid amendment coupled with real-time PCR,2019,10.1007/s11368-018-2176-z,WoS,10.1007/s11368-018-2176-z
Bacteriophages benefit from generalized transduction,2019,10.1371/journal.ppat.1007888,WoS,10.1371/journal.ppat.1007888
Behavioral heterogeneity in quorum sensing can stabilize social cooperation in microbial populations,2019,10.1186/s12915-019-0639-3,WoS,10.1186/s12915-019-0639-3
Biophysical characterization of mycobacterial model membranes and their interaction with rifabutin: Towards lipid-guided drug screening in tuberculosis,2019,10.1016/j.bbamem.2019.04.004,WoS,10.1016/j.bbamem.2019.04.004
Carbosilane Dendron-Peptide Nanoconjugates as Antimicrobial Agents,2019,10.1021/acs.molpharmaceut.9b00222,WoS,10.1021/acs.molpharmaceut.9b00222
Characterization of Biological Resistance and Successful Drug Resistance Control in Medicine,2019,10.3390/pathogens8020073,WoS,10.3390/pathogens8020073
"CMCdG, a Novel Nucleoside Analog with Favorable Safety Features, Exerts Potent Activity against Wild-Type and Entecavir-Resistant Hepatitis B Virus",2019,10.1128/AAC.02143-18,WoS,10.1128/aac.02143-18
Competing evolutionary paths in growing populations with applications to multidrug resistance,2019,10.1371/journal.pcbi.1006866,WoS,10.1371/journal.pcbi.1006866
Competition between Escherichia coli Populations with and without Plasmids Carrying a Gene Encoding Extended-Spectrum Beta-Lactamase in the Broiler Chicken Gut,2019,10.1128/AEM.00892-19,WoS,10.1128/aem.00892-19
Complete Assembly of Escherichia coli Sequence Type 131 Genomes Using Long Reads Demonstrates Antibiotic Resistance Gene Variation within Diverse Plasmid and Chromosomal Contexts,2019,10.1128/mSphere.00130-19,WoS,10.1128/msphere.00130-19
Complex Signaling Networks Controlling Dynamic Molecular Changes in Pseudomonas aeruginosa Biofilm,2019,10.2174/0929867325666180912110151,WoS,10.2174/0929867325666180912110151
Conformational Dynamics of AcrA Govern Multidrug Efflux Pump Assembly,2019,10.1021/acsinfecdis.9b00273,WoS,10.1021/acsinfecdis.9b00273
"Cooperative Changes in Solvent Exposure Identify Cryptic Pockets, Switches, and Allosteric Coupling",2019,10.1016/j.bpj.2018.11.3144,WoS,10.1016/j.bpj.2018.11.3144
CROSSING A FITNESS VALLEY AS A METASTABLE TRANSITION IN A STOCHASTIC POPULATION MODEL,2019,10.1214/19-AAP1487,WoS,10.1214/19-aap1487
Cryo-EM structure of pleconaril-resistant rhinovirus-B5 complexed to the antiviral OBR-5-340 reveals unexpected binding site,2019,10.1073/pnas.1904732116,WoS,10.1073/pnas.1904732116
Dead bacterial absorption of antimicrobial peptides underlies collective tolerance,2019,10.1098/rsif.2018.0701,WoS,10.1098/rsif.2018.0701
